nconst,primaryName
nm0144511,Rigoberto Castañeda
nm0144909,Fernando Castets
nm0145580,Joaquim Castro
nm0145600,Juanjo Castro
nm0146341,Peter Cattaneo
nm0146828,Carolyn Cavallero
nm0146960,Liliana Cavani
nm0146991,Fred Cavayé
nm0147270,Marc Cayce
nm0147592,Massimo Ceccherini
nm0147611,Isabella Cecchi
nm0147661,Fulvio Cecere
nm0147985,Jeff Celentano
nm0148116,Simon Cellan Jones
nm0148173,Una Celma
nm0148304,Heath Centazzo
nm0148318,Edward Centeno
nm0148482,Massimiliano Cerchi
nm0148808,Mike Cerrone
nm0148996,Pascal Cervo
nm0149080,Daniela Ceselli
nm0149131,Kamil Çetin
nm0149196,Nuri Bilge Ceylan
nm0149222,Louis Cha
nm0149235,Mohammed Chaara
nm0149808,Lolita Chakrabarti
nm0150325,Eric Chambers
nm0150636,Wendy Champagne
nm0150749,Eric Champnella
nm0150906,Gordon Chan
nm0150916,Hing-Ka Chan
nm0151066,Peter Ho-Sun Chan
nm0151135,Tony Chan
nm0151434,Michael Chandler
nm0151540,Jay Chandrasekhar
nm0151546,S.A. Chandrashekhar
nm0152082,Damian Chapa
nm0152231,Carmen Chaplin
nm0152953,Lyne Charlebois
nm0153078,Larry Charles
nm0153263,César Charlone
nm0153265,Alexandre Charlot
nm0154158,Sarat Chandra Chattopadhyay
nm0154243,Ngo The Chau
nm0154464,Antonio Chavarrías
nm0154751,Shu Lea Cheang
nm0155009,Anton Chekhov
nm0155093,Peter Chelsom
nm0155201,Daming Chen
nm0155280,Kaige Chen
nm0155683,Chad Chenouga
nm0155913,Jonas Chernick
nm0155940,Denis Chernov
nm0156295,Christophe Cheysson
nm0156417,Lionel Chetwynd
nm0156533,Nick Cheung
nm0156557,Roman Cheung
nm0156704,Ron Chevarie
nm0156828,Timothy A. Chey
nm0156871,Chi-Ngai Lee
nm0157145,Malik Chibane
nm0157345,Benoît Chieux
nm0158323,Ugo Chiti
nm0158404,Keng Guan Chiu
nm0158408,Tat-Chiu Lee
nm0158837,John Choi
nm0159039,Felix Chong
nm0159147,Aditya Chopra
nm0159340,Mohini Choudhury
nm0159543,Ramapada Chowdhury
nm0159674,Jason Christ
nm0159745,Casper Christensen
nm0160429,Angela Christlieb
nm0160840,Jon M. Chu
nm0161152,Oxide Chun Pang
nm0161948,Alexander Cicak
nm0161991,Anne Riitta Ciccone
nm0162013,Jerry Ciccoritti
nm0162382,Roberto Cimpanelli
nm0162467,Ken Cinnamon
nm0162470,Beppe Cino
nm0162483,Michele Cinque
nm0162485,Francesco Cinquemani
nm0162579,Frank Ciota
nm0162580,Joseph A. Ciota
nm0162668,Daniele Ciprì
nm0163817,Dane Clark
nm0164053,Jane Clark
nm0164703,Christopher Clarke
nm0165105,Ross W. Clarkson
nm0165290,Richard Claus
nm0165326,Murmel Clausen
nm0165616,Phil Claydon
nm0165873,Stephen Cleary
